-1000  0 0  0.001 0 0 
-798   0 0  0.244 0 0
-750   0 0  0.297 0 0
-108   0 0  0.943 0 0
-75    0 0  0.977 0 0
0      0 0  1.000 0 0
40     0 0  1.042 0 0
55     0 0  1.049 0 0
67     0 0  1.065 0 0
262    0 0  1.095 0 0
1033   0 0  1.468 0 0
1432   0 0  1.634 0 0
1974   0 0  1.778 0 0
3000   0 0  2.051 0 0
